rnaseq_sample,guardian_dependence,executioner_availability,r,resistant
BA2209R,0.6548797736916548,0.6661951909476662,187.593239002227,1
BA2989R,0.3316831683168317,0.06930693069306931,225.326641993675,1
BA2261R,0.6760961810466761,0.12022630834512023,224.633763707428,1
BA2721R,0.2927864214992928,0.07637906647807638,244.058766808081,1
BA2469R,0.28005657708628007,0.11173974540311174,47.7490963487737,0
BA2269R,0.7369165487977369,0.039603960396039604,269.055132209808,1
BA2778R,0.6548797736916548,0.4229137199434229,242.047781962671,1
BA2951R,0.08203677510608204,0.297029702970297,159.030075709421,1
BA2379R,0.5304101838755304,0.3125884016973126,235.749704004477,1
BA2817R,0.5162659123055162,0.6449787835926449,267.45036412983,1
BA3153R,0.46746817538896746,0.9872701555869873,218.035527898908,1
BA2820R,0.32885431400282883,0.16265912305516267,206.174600778867,1
BA2704R,0.35007072135785006,0.6294200848656294,45.9032134086262,0
BA2116R,0.8557284299858557,0.055162659123055166,219.383629434559,1
BA2584R,0.16124469589816123,0.6619519094766619,46.8010014440865,0
BA3079R,0.9321074964639321,0.45685997171145687,149.210610081711,0
BA2417R,0.5756718528995757,0.9137199434229137,148.960859010673,0
BA2450R,0.16831683168316833,0.5304101838755304,71.901856445487,0
BA2492R,0.7715700141442716,0.6124469589816125,285.24222581372,1
BA2472R,0.2927864214992928,0.39745403111739747,267.709707912761,1
BA2994R,0.32248939179632247,0.7015558698727016,66.0205985614134,0
BA2082R,0.41089108910891087,0.8896746817538896,172.560898755112,1
BA2879R,0.9321074964639321,0.1188118811881188,202.98176793918,1
BA2577R,0.04667609618104668,0.3026874115983027,89.4099997626579,0
BA2456R,0.7107496463932107,0.917963224893918,179.457465092845,1
BA2175R,0.8734087694483734,0.19094766619519093,228.42280876954,1
BA2824R,0.08486562942008487,0.7185289957567186,90.3835400150142,0
BA2507R,0.9264497878359265,0.8175388967468176,157.993079746321,0
BA2244R,0.12588401697312587,0.7284299858557284,195.300752042068,1
BA2470R,0.9321074964639321,0.07213578500707214,123.745981348226,0
BA2984R,0.9052333804809052,0.5657708628005658,65.4207920041799,0
BA2414R,0.6485148514851485,0.3338048090523338,70.8669717535131,0
BA2697R,0.7864214992927864,0.20933521923620935,152.749190049796,0
BA2079R,0.8500707213578501,0.2743988684582744,131.973382480987,0
BA2011R,0.9844413012729845,0.7001414427157001,226.339879727244,1
BA2217R,0.09335219236209336,0.3578500707213578,61.6744174168594,0
BA2218R,0.1669024045261669,0.6704384724186704,8.10068114570515,0
BA2135R,0.9483734087694484,0.801980198019802,108.970012113118,0
BA2914R,0.5304101838755304,0.4596888260254597,142.28119403721,0
BA2500R,0.06647807637906648,0.13012729844413012,37.4354158036897,0
