lof,expr_q,drug,metric,lineage_subset,covset,n,beta,ci_low,ci_high,p,p_fdr
expression_only,0.2,navitoclax,LN_IC50,all_heme,lineage_plus_mcl1,120,0.036564712077534076,-0.08256168349885179,0.15569110765391994,0.5444194700446566,0.718694934478653
expression_only,0.05,navitoclax,AUC,all_heme,lineage_plus_mcl1,120,0.0385389969799208,-0.08694983214105526,0.16402782610089686,0.5441962757742284,0.718694934478653
continuous_score,0.1,venetoclax,LN_IC50,lymphoma_only,lineage_plus_mcl1,28,0.04282697512493153,-0.3265476917858954,0.4122016420357585,0.8132133355996666,0.8829685768660329
continuous_score,0.2,venetoclax,LN_IC50,lymphoma_only,lineage_plus_mcl1,28,0.04282697512493153,-0.3265476917858954,0.4122016420357585,0.8132133355996666,0.8829685768660329
any_of_three,0.2,venetoclax,LN_IC50,lymphoma_only,lineage_plus_mcl1,28,0.04282697512493168,-0.32654769178589527,0.4122016420357586,0.8132133355996659,0.8829685768660329
any_of_three,0.1,venetoclax,LN_IC50,lymphoma_only,lineage_plus_mcl1,28,0.04282697512493168,-0.32654769178589527,0.4122016420357586,0.8132133355996659,0.8829685768660329
expression_only,0.05,navitoclax,AUC,lymphoma_only,lineage_plus_mcl1,29,0.04420913934993539,-0.2701360544500619,0.3585543331499326,0.7748071744962803,0.8718863417726886
any_of_three,0.2,navitoclax,AUC,all_heme,lineage,171,0.047958192355380874,-0.10307171056583897,0.19898809527660072,0.5315857095278573,0.7097365022369079
continuous_score,0.2,navitoclax,AUC,all_heme,lineage,171,0.04795819235538089,-0.10307171056583898,0.19898809527660077,0.5315857095278573,0.7097365022369079
any_of_three,0.05,navitoclax,AUC,all_heme,lineage,171,0.0485406696714062,-0.10317336678991217,0.20025470613272456,0.5284823184028463,0.7097365022369079
continuous_score,0.05,navitoclax,AUC,all_heme,lineage,171,0.0485406696714062,-0.10317336678991217,0.20025470613272456,0.5284823184028463,0.7097365022369079
expression_only,0.05,navitoclax,LN_IC50,lymphoma_only,lineage,49,0.05094804091494781,-0.24211337976801683,0.34400946159791246,0.7280988922590028,0.8431083720210415
expression_only,0.05,navitoclax,LN_IC50,lymphoma_only,none,49,0.05094804091494781,-0.24211337976801683,0.34400946159791246,0.7280988922590028,0.8431083720210415
continuous_score,0.05,venetoclax,AUC,all_heme,lineage,165,0.05223217054097456,-0.10297132411754403,0.20743566519949316,0.5072699987792262,0.702373844463544
any_of_three,0.05,venetoclax,AUC,all_heme,lineage,165,0.05223217054097458,-0.10297132411754399,0.20743566519949314,0.507269998779226,0.702373844463544
expression_only,0.1,navitoclax,AUC,leukemia_only,lineage,65,0.0523487658998372,-0.20248057691348834,0.30717810871316276,0.6827506429335917,0.8220409078799097
any_of_three,0.2,venetoclax,AUC,leukemia_only,lineage,62,0.05518353178279807,-0.21111595651982062,0.32148302008541674,0.6798994866830818,0.8213550845835887
