rnaseq_sample,guardian_dependence,executioner_deficiency,susceptibility_score,executioner_loss_call,executioner_loss_score
BA2832R,0.4306930693069307,0.8684582743988685,0.6115872462419808,False,0.0
BA2308R,0.6895332390381895,0.28429985855728435,0.44275749833187855,False,0.0
BA2413R,0.64002828854314,0.5374823196605375,0.5865184474290052,False,0.0
BA2701R,0.8323903818953324,0.29702970297029707,0.4972370339080776,False,0.0
BA2634R,0.888967468175389,0.19236209335219234,0.41352586751038467,False,0.0
BA2677R,0.8323903818953324,0.6704384724186705,0.7470385104490266,False,0.0
BA2937R,0.6251768033946252,0.8401697312588402,0.7247445252620561,False,0.0
BA2600R,0.7892503536067893,0.3239038189533239,0.505609734522092,False,0.0
BA2019R,0.042432814710042434,0.9985855728429985,0.20584653648912468,True,0.5
BA2412R,0.33734087694483733,0.553041018387553,0.4319297884255299,False,0.0
BA2334R,0.5466760961810466,0.6195190947666196,0.5819590021957144,False,0.0
BA2050R,0.9186704384724187,0.4794908062234795,0.6636972421193398,False,0.0
BA3230R,0.3741159830268741,0.4087694483734088,0.3910590543761529,False,0.0
BA2953R,0.9702970297029703,0.14427157001414426,0.3741473985681422,False,0.0
BA2481R,0.8946251768033946,0.9349363507779349,0.9145586903608923,False,0.0
BA2731R,0.8734087694483734,0.007072135785007094,0.07859303667218141,False,0.0
BA2294R,0.8734087694483734,0.16124469589816126,0.3752766065510748,False,0.0
BA2418R,0.6895332390381895,0.31400282885431396,0.4653121400168594,False,0.0
BA2816R,0.9702970297029703,0.16831683168316836,0.4041253788506644,False,0.0
BA2656R,0.7758132956152758,0.24045261669024043,0.4319101029077372,False,0.0
BA2814R,0.3175388967468175,0.03960396039603964,0.11214186502356326,False,0.0
BA2631R,0.06082036775106082,0.7326732673267327,0.21109584922537716,False,0.0
BA2023R,0.6683168316831684,0.28712871287128716,0.43805587733918694,False,0.0
BA2375R,0.44554455445544555,0.6845827439886846,0.5522790179414069,False,0.0
BA2485R,0.7157001414427157,0.11456859971711453,0.28635076920174796,False,0.0
BA2455R,0.7312588401697313,0.018387553041018356,0.11595715031999751,False,0.0
BA2025R,0.03818953323903819,0.10749646393210754,0.06407214513666833,False,0.0
BA2636R,0.3175388967468175,0.8444130127298444,0.5178165471099694,False,0.0
BA2325R,0.8111739745403111,0.13861386138613863,0.3353206776609129,False,0.0
BA2169R,0.582036775106082,0.21357850070721363,0.35257700121196034,False,0.0
BA2156R,0.002828854314002829,0.173974540311174,0.02218442311366071,False,0.0
BA2511R,0.8734087694483734,0.5190947666195191,0.6733364102291252,False,0.0
BA2939R,0.5869872701555869,0.18104667609618108,0.325994009411891,False,0.0
BA2168R,0.8111739745403111,0.3168316831683168,0.5069572128848154,False,0.0
BA2505R,0.6188118811881188,0.1697312588401697,0.32408597559800845,False,0.0
