,x,y,truth,pred_bypass,score,stability
spot357,37,8,False,False,0.062401367187500015,0.8888888888888888
spot358,38,8,False,False,0.13014843750000002,0.5185185185185185
spot359,39,8,False,False,0.28461162109375,1.0
spot360,0,9,False,False,0.059626171875,0.5185185185185185
spot361,1,9,False,False,0.385829296875,0.8395061728395061
spot362,2,9,False,False,0.10400625000000001,0.48148148148148145
spot363,3,9,False,False,0.31316289062499997,0.32098765432098764
spot364,4,9,False,False,0.10695234374999998,0.4074074074074074
spot365,5,9,False,False,0.22605878906250002,0.2716049382716049
spot366,6,9,False,False,0.11114355468749999,0.8148148148148148
spot367,7,9,False,False,0.24817089843749998,1.0
spot368,8,9,False,True,0.5594552734375,0.3333333333333333
spot369,9,9,False,False,0.007952343749999998,0.6666666666666666
spot370,10,9,False,False,0.053811035156249985,0.5925925925925926
spot371,11,9,False,False,0.3090353515625,0.2962962962962963
spot372,12,9,False,True,0.6885125,0.48148148148148145
spot373,13,9,False,False,0.19842187500000003,0.9629629629629629
spot374,14,9,False,False,0.01904765625,0.3333333333333333
spot375,15,9,False,False,0.06260351562500001,0.5432098765432098
spot376,16,9,False,False,0.0430259765625,1.0
spot377,17,9,False,False,0.032965624999999985,1.0
spot378,18,9,False,False,0.45425292968750003,0.8518518518518519
spot379,19,9,False,False,0.17437304687500002,0.8148148148148148
spot380,20,9,False,False,0.033875976562499986,0.9259259259259259
spot381,21,9,False,False,0.030881250000000002,1.0
spot382,22,9,False,False,0.26669951171875006,0.6666666666666666
spot383,23,9,False,False,0.2965896484375,0.5061728395061729
spot384,24,9,False,False,0.041332226562500005,0.8888888888888888
spot385,25,9,False,False,0.0630015625,0.6666666666666666
spot386,26,9,False,False,0.13411259765625003,0.37037037037037035
spot387,27,9,False,True,0.5291707031249999,0.25925925925925924
spot388,28,9,False,False,0.40552470703125004,0.6419753086419753
spot389,29,9,False,False,0.0717814453125,0.3333333333333333
spot390,30,9,False,False,0.23551875000000003,1.0
spot391,31,9,False,True,0.391978125,0.06172839506172839
spot392,32,9,False,False,0.14745156250000002,0.48148148148148145
spot393,33,9,False,False,0.0781306640625,1.0
spot394,34,9,False,False,0.26036103515625003,0.8518518518518519
spot395,35,9,False,False,0.21785908203124998,0.7037037037037037
spot396,36,9,False,True,0.48023876953125,0.2222222222222222
spot397,37,9,False,False,0.2969103515625,0.8888888888888888
spot398,38,9,False,False,0.24983085937499996,0.9259259259259259
spot399,39,9,False,False,0.07723671874999999,0.6666666666666666
spot400,0,10,False,False,0.32220703125,0.2962962962962963
spot401,1,10,False,False,0.08300273437499998,0.9629629629629629
spot402,2,10,False,False,0.17969707031249996,1.0
spot403,3,10,False,False,0.13535693359375,0.3333333333333333
spot404,4,10,False,False,0.3677888671875,0.9259259259259259
spot405,5,10,False,False,0.07882714843750001,0.3333333333333333
spot406,6,10,False,False,0.10758544921875,0.2962962962962963
spot407,7,10,False,False,0.008473046875000001,0.9259259259259259
spot408,8,10,False,False,0.0426439453125,0.5925925925925926
spot409,9,10,False,False,0.4013164062499999,0.3333333333333333
spot410,10,10,False,False,0.05324921875,0.9259259259259259
spot411,11,10,False,False,0.30286494140625,0.4444444444444444
spot412,12,10,False,False,0.024812695312500035,0.7777777777777778
spot413,13,10,False,True,0.4357974609375,0.4567901234567901
spot414,14,10,False,True,0.5513976562499999,0.6419753086419753
spot415,15,10,False,True,0.6788056640625001,0.3333333333333333
spot416,16,10,False,False,0.30206025390624996,0.8888888888888888
spot417,17,10,False,False,0.36609345703124996,0.8518518518518519
spot418,18,10,False,False,0.39938955078125,0.8888888888888888
spot419,19,10,False,False,0.2806826171875,0.48148148148148145
spot420,20,10,False,False,0.16878076171874998,0.9259259259259259
spot421,21,10,False,False,0.32282500000000003,0.2962962962962963
spot422,22,10,False,False,0.154071875,0.37037037037037035
spot423,23,10,False,False,0.03717246093750001,0.8888888888888888
spot424,24,10,False,False,0.005884375000000002,1.0
spot425,25,10,False,False,0.04441113281249998,0.8888888888888888
spot426,26,10,False,False,0.16278515625,0.9259259259259259
spot427,27,10,False,False,0.19141103515625002,0.5185185185185185
spot428,28,10,False,True,0.518095703125,0.25925925925925924
spot429,29,10,False,False,0.0207376953125,0.4444444444444444
spot430,30,10,False,False,0.031084374999999994,0.5555555555555556
spot431,31,10,False,False,0.0565546875,0.8148148148148148
spot432,32,10,False,False,0.006975,1.0
spot433,33,10,False,False,0.04067578125,0.2962962962962963
spot434,34,10,False,False,0.23838867187500004,0.3333333333333333
spot435,35,10,False,False,0.40431015625,0.6666666666666666
spot436,36,10,False,True,0.47311171874999997,0.8271604938271605
spot437,37,10,False,False,0.038126953125000015,1.0
spot438,38,10,False,False,0.081599609375,0.2222222222222222
spot439,39,10,False,False,0.24501357421875,0.3333333333333333
spot440,0,11,False,False,0.05557578125000001,1.0
spot441,1,11,False,False,0.02861718750000001,1.0
spot442,2,11,False,False,0.0649560546875,1.0
spot443,3,11,False,False,0.008026562500000023,1.0
spot444,4,11,False,False,0.1380421875,0.654320987654321
spot445,5,11,False,True,0.5514679687499999,0.14814814814814814
spot446,6,11,False,False,0.1303216796875,0.7777777777777778
spot447,7,11,False,False,0.022092382812500016,0.4074074074074074
spot448,8,11,False,False,0.047380859375,0.5925925925925926
spot449,9,11,False,False,0.14454687500000002,0.14814814814814814
spot450,10,11,False,False,0.119063671875,0.9259259259259259
spot451,11,11,False,True,0.45525585937499996,0.12345679012345678
spot452,12,11,False,False,0.03507626953125002,0.8888888888888888
spot453,13,11,False,False,0.30092167968749994,0.6666666666666666
spot454,14,11,False,False,0.2967056640625,0.6666666666666666
spot455,15,11,False,False,0.2843248046875,0.6296296296296297
spot456,16,11,False,False,0.015259960937499992,0.7407407407407407
spot457,17,11,False,False,0.13681640625,1.0
spot458,18,11,False,False,0.2332265625,0.4074074074074074
spot459,19,11,False,False,0.04902499999999997,0.5925925925925926
spot460,20,11,False,False,0.06864609375000001,0.6790123456790124
spot461,21,11,False,False,0.22658056640624996,0.4444444444444444
spot462,22,11,False,False,0.11265820312500002,0.8888888888888888
spot463,23,11,False,False,0.12513671875,0.2222222222222222
spot464,24,11,False,False,0.007776171874999997,1.0
spot465,25,11,False,False,0.28300605468749995,0.3333333333333333
spot466,26,11,False,False,0.04956230468749998,0.4444444444444444
spot467,27,11,False,False,0.0113828125,0.2222222222222222
spot468,28,11,False,False,0.036625,0.8148148148148148
spot469,29,11,False,False,0.42083671875,0.3333333333333333
spot470,30,11,False,False,0.32063203125,0.4074074074074074
spot471,31,11,False,False,0.06471796875000004,0.8888888888888888
spot472,32,11,False,False,0.029342578124999998,0.7777777777777778
spot473,33,11,False,False,0.42907275390624994,0.4074074074074074
spot474,34,11,False,False,0.259171484375,1.0
spot475,35,11,False,False,0.08537109375,0.5925925925925926
spot476,36,11,False,True,0.6080660156250001,0.8148148148148148
spot477,37,11,False,False,0.007715625000000007,1.0
spot478,38,11,False,False,0.35291308593750004,1.0
spot479,39,11,False,False,0.13578046875000002,1.0
spot480,0,12,False,False,0.021427734374999997,1.0
spot481,1,12,False,False,0.3972138671875,0.25925925925925924
spot482,2,12,False,False,0.023715234374999998,0.8888888888888888
spot483,3,12,False,False,0.22857656250000002,0.4444444444444444
spot484,4,12,False,False,0.045332031249999995,0.7777777777777778
spot485,5,12,False,False,0.07175625000000001,0.8888888888888888
spot486,6,12,False,False,0.33882861328124997,0.3333333333333333
spot487,7,12,False,False,0.22408007812499997,0.5925925925925926
spot488,8,12,False,False,0.48665624999999996,0.6666666666666666
spot489,9,12,False,False,0.48718212890625,0.8518518518518519
spot490,10,12,False,True,0.53325625,0.2962962962962963
spot491,11,12,False,False,0.06055273437500001,0.3333333333333333
spot492,12,12,False,False,0.11576660156249999,1.0
spot493,13,12,False,False,0.09252890625,0.2962962962962963
spot494,14,12,False,False,0.17890761718749998,1.0
spot495,15,12,False,False,0.015862792968749997,0.8888888888888888
spot496,16,12,False,False,0.25009189453124997,1.0
spot497,17,12,False,False,0.08645625000000001,1.0
spot498,18,12,False,False,0.1320779296875,1.0
spot499,19,12,False,True,0.4964818359375,0.2222222222222222
spot500,20,12,False,False,0.1364453125,0.7407407407407407
spot501,21,12,False,False,0.2944552734375,0.8888888888888888
spot502,22,12,False,False,0.1358765625,0.6296296296296297
spot503,23,12,False,True,0.6800330078125,0.3333333333333333
spot504,24,12,False,False,0.42627041015624995,0.8888888888888888
spot505,25,12,False,False,0.24475,1.0
spot506,26,12,False,False,0.05523095703125001,0.5555555555555556
spot507,27,12,False,False,0.17471464843749995,0.6296296296296297
spot508,28,12,False,False,0.0251671875,0.7777777777777778
spot509,29,12,False,False,0.22532607421874998,0.3333333333333333
spot510,30,12,False,False,0.47702695312500004,0.2716049382716049
spot511,31,12,False,True,0.56682158203125,0.2222222222222222
spot512,32,12,False,False,0.1497125,1.0
spot513,33,12,False,False,0.3681318359375,0.18518518518518517
spot514,34,12,False,False,0.147548046875,1.0
spot515,35,12,False,True,0.53809814453125,0.2345679012345679
spot516,36,12,False,True,0.5335830078125,0.7777777777777778
spot517,37,12,False,False,0.03957343749999999,1.0
spot518,38,12,False,False,0.04214531250000004,1.0
spot519,39,12,False,False,0.018582812500000014,1.0
spot520,0,13,False,False,0.014360937500000002,1.0
spot521,1,13,False,False,0.19029873046875,0.8148148148148148
spot522,2,13,False,True,0.69911181640625,0.30864197530864196
spot523,3,13,False,False,0.02185634765624998,0.7407407407407407
spot524,4,13,False,False,0.04335859375,0.6666666666666666
spot525,5,13,False,False,0.0930419921875,0.7283950617283951
spot526,6,13,False,False,0.10570605468750001,0.4444444444444444
spot527,7,13,False,False,0.0675076171875,1.0
spot528,8,13,False,False,0.0532041015625,1.0
spot529,9,13,False,False,0.1429125,0.18518518518518517
spot530,10,13,False,False,0.3063169921875,0.8148148148148148
spot531,11,13,False,False,0.12443203124999999,0.9259259259259259
spot532,12,13,False,False,0.1404498046875,1.0
spot533,13,13,False,False,0.05279550781250001,0.8888888888888888
spot534,14,13,False,False,0.08089453125000004,0.7407407407407407
spot535,15,13,False,False,0.1313662109375,0.8888888888888888
spot536,16,13,False,False,0.42530947265624997,0.2962962962962963
spot537,17,13,False,False,0.031175585937500003,1.0
spot538,18,13,False,False,0.005569921875000002,0.8888888888888888
spot539,19,13,False,False,0.1604044921875,1.0
spot540,20,13,False,False,0.0596826171875,0.5555555555555556
spot541,21,13,False,False,0.2120193359375,0.2222222222222222
spot542,22,13,False,False,0.00139306640625,0.9259259259259259
spot543,23,13,False,False,0.014808593750000001,0.9629629629629629
spot544,24,13,False,False,0.025506445312499994,0.8148148148148148
spot545,25,13,False,False,0.23065234374999996,0.3333333333333333
spot546,26,13,False,False,0.4448234375,0.6296296296296297
spot547,27,13,False,False,0.029363183593750005,0.8518518518518519
spot548,28,13,False,False,0.051455078125,0.7777777777777778
spot549,29,13,False,False,0.22509765625000003,0.3333333333333333
spot550,30,13,False,False,0.12917519531249996,0.7777777777777778
spot551,31,13,False,False,0.00495195312500002,1.0
spot552,32,13,False,False,0.15185039062500003,1.0
spot553,33,13,False,False,0.045289062500000025,1.0
spot554,34,13,False,False,0.01061328125,0.7777777777777778
spot555,35,13,False,False,0.25344677734375,0.2222222222222222
spot556,36,13,False,False,0.336599609375,0.35802469135802467
spot557,37,13,False,False,0.1166375,1.0
spot558,38,13,False,False,0.04904101562499998,1.0
spot559,39,13,False,False,0.0723251953125,0.2222222222222222
spot560,0,14,False,False,0.154275,0.2222222222222222
spot561,1,14,False,False,0.33786621093749997,0.8518518518518519
spot562,2,14,False,False,0.27493164062500003,0.2962962962962963
spot563,3,14,False,False,0.07915234374999998,0.9629629629629629
spot564,4,14,False,False,0.20091474609375,1.0
spot565,5,14,False,False,0.21882685546875,0.7777777777777778
spot566,6,14,False,True,0.5642861328125,0.2962962962962963
spot567,7,14,False,False,0.040728515624999954,1.0
spot568,8,14,False,False,0.004831054687500011,1.0
spot569,9,14,False,False,0.14056406250000003,1.0
spot570,10,14,False,False,0.304391796875,0.7777777777777778
spot571,11,14,False,False,0.26082861328125,0.3333333333333333
spot572,12,14,False,False,0.0792822265625,0.7037037037037037
spot573,13,14,False,False,0.016768554687500003,0.7037037037037037
spot574,14,14,False,False,0.3027888671875,0.3333333333333333
spot575,15,14,False,False,0.21797490234375,0.2222222222222222
spot576,16,14,False,False,0.050256250000000044,0.37037037037037035
spot577,17,14,False,False,0.17925390625,0.6666666666666666
spot578,18,14,False,False,0.16763769531249997,0.7777777777777778
